namePlayer,idGame,dateGame,pts,minutes
Kevin Durant,22300062,2023-10-24,18,37
Stephen Curry,22300062,2023-10-24,27,31
Devin Booker,22300062,2023-10-24,32,37
Jayson Tatum,22300065,2023-10-25,34,39
Luka Doncic,22300073,2023-10-25,33,34
Donovan Mitchell,22300067,2023-10-25,27,36
Jalen Brunson,22300065,2023-10-25,15,33
Shai Gilgeous-Alexander,22300070,2023-10-25,31,36
Joel Embiid,22300075,2023-10-26,24,36
Giannis Antetokounmpo,22300075,2023-10-26,23,35
Kevin Durant,22300076,2023-10-26,39,39
Jayson Tatum,22300080,2023-10-27,22,41
Jalen Brunson,22300079,2023-10-27,31,33
Luka Doncic,22300084,2023-10-27,49,36
Shai Gilgeous-Alexander,22300081,2023-10-27,34,36
Donovan Mitchell,22300081,2023-10-27,43,42
Stephen Curry,22300087,2023-10-27,41,35
Joel Embiid,22300092,2023-10-28,34,35
Kevin Durant,22300094,2023-10-28,26,29
Jalen Brunson,22300090,2023-10-28,14,31
Giannis Antetokounmpo,22300097,2023-10-29,26,29
Shai Gilgeous-Alexander,22300095,2023-10-29,7,28
Joel Embiid,22300098,2023-10-29,35,29
Stephen Curry,22300096,2023-10-29,24,31
Jayson Tatum,22300103,2023-10-30,33,28
Giannis Antetokounmpo,22300107,2023-10-30,33,32
Luka Doncic,22300106,2023-10-30,35,40
Stephen Curry,22300108,2023-10-30,42,30
Shai Gilgeous-Alexander,22300109,2023-10-30,32,33
Donovan Mitchell,22300112,2023-10-31,26,29
Kevin Durant,22300113,2023-10-31,26,37
Jalen Brunson,22300112,2023-10-31,19,34
Donovan Mitchell,22300120,2023-11-01,30,37
Jalen Brunson,22300120,2023-11-01,24,39
Jayson Tatum,22300118,2023-11-01,30,27
Giannis Antetokounmpo,22300116,2023-11-01,16,28
Stephen Curry,22300126,2023-11-01,21,32
Luka Doncic,22300124,2023-11-01,18,40
Shai Gilgeous-Alexander,22300121,2023-11-01,20,38
Kevin Durant,22300131,2023-11-02,28,37
Devin Booker,22300131,2023-11-02,31,35
Joel Embiid,22300128,2023-11-02,28,35
Jalen Brunson,22300002,2023-11-03,45,42
Giannis Antetokounmpo,22300002,2023-11-03,22,36
Luka Doncic,22300006,2023-11-03,34,38
Donovan Mitchell,22300001,2023-11-03,38,37
Stephen Curry,22300005,2023-11-03,30,31
Jayson Tatum,22300136,2023-11-04,32,41
Joel Embiid,22300132,2023-11-04,26,31
Kevin Durant,22300132,2023-11-04,31,36
Stephen Curry,22300142,2023-11-05,28,31
Donovan Mitchell,22300142,2023-11-05,31,34
Luka Doncic,22300143,2023-11-05,23,36
Kevin Durant,22300140,2023-11-05,41,35
Giannis Antetokounmpo,22300149,2023-11-06,36,35
Luka Doncic,22300147,2023-11-06,29,35
Jalen Brunson,22300151,2023-11-06,7,35
Joel Embiid,22300148,2023-11-06,48,31
