nameTeam,fgm,fga,fg3m,fg3a,fg2m,fg2a,tov,pts,blk,stl,ast,treb,fta,ftm,count_wins,n_games,pct3,pct2,pctfg,pctft,ratio_ast_tov,conference
Atlanta Hawks,43.62068965517241,93.67241379310344,13.655172413793103,37.87931034482759,29.96551724137931,55.793103448275865,12.689655172413794,121.15517241379311,4.517241379310345,7.568965517241379,26.32758620689655,45.224137931034484,24.93103448275862,20.25862068965517,26,58,36.04915794264906,53.708281829419036,46.56727406589361,81.25864453665282,2.074728260869565,Eastern Conference
Boston Celtics,43.46551724137931,89.74137931034483,16.137931034482758,42.258620689655174,27.32758620689655,47.48275862068966,11.844827586206897,120.67241379310344,6.568965517241379,6.4655172413793105,26.155172413793103,47.06896551724138,21.724137931034484,17.603448275862068,46,58,38.18849449204406,57.55265068990559,48.43419788664745,81.03174603174602,2.2081513828238717,Eastern Conference
Brooklyn Nets,41.37931034482759,90.60344827586206,13.568965517241379,37.46551724137931,27.810344827586206,53.13793103448276,11.982758620689655,111.93103448275862,5.155172413793103,6.879310344827586,26.5,44.41379310344828,20.586206896551722,15.60344827586207,22,58,36.21721122871606,52.33614536015573,45.67078972407232,75.7956448911223,2.2115107913669068,Eastern Conference
Charlotte Hornets,40.43103448275862,88.37931034482759,12,33.310344827586206,28.43103448275862,55.06896551724138,13.068965517241379,107.65517241379311,4.689655172413793,6.793103448275862,24.82758620689655,41.12068965517241,18.844827586206897,14.793103448275861,15.000000000000002,58,36.024844720496894,51.62805259862241,45.747171283651966,78.49954254345836,1.899736147757256,Eastern Conference
Chicago Bulls,41.6551724137931,89.5,11.60344827586207,32.63793103448276,30.051724137931036,56.86206896551724,11.637931034482758,111.55172413793103,5.051724137931035,7.793103448275862,24.482758620689655,43.5,20.948275862068964,16.637931034482758,27,58,35.552033808769146,52.8502122498484,46.5420920824504,79.42386831275721,2.1037037037037036,Eastern Conference
Cleveland Cavaliers,42.56140350877193,87.96491228070175,13.280701754385966,36.578947368421055,29.280701754385966,51.3859649122807,12.75438596491228,114.56140350877193,4.824561403508772,7.456140350877193,27.54385964912281,44.78947368421053,21.017543859649123,16.157894736842106,38,57,36.30695443645084,56.98190508706043,48.384523334662944,76.87813021702839,2.159559834938102,Eastern Conference
Dallas Mavericks,43,89.74137931034483,15.051724137931034,40.08620689655172,27.948275862068964,49.6551724137931,11.913793103448276,118.60344827586206,4.517241379310345,6.775862068965517,25.32758620689655,42,23.25862068965517,17.551724137931036,33,58,37.5483870967742,56.284722222222214,47.91546589817483,75.46330615270571,2.125904486251809,Western Conference
Denver Nuggets,43.741379310344826,88.91379310344827,11.413793103448276,31.189655172413794,32.327586206896555,57.724137931034484,11.793103448275861,114.53448275862068,5.431034482758621,6.896551724137931,29.017241379310345,44.41379310344828,20.689655172413794,15.637931034482758,39,58,36.59480375898286,56.00358422939068,49.19526856699632,75.58333333333333,2.460526315789474,Western Conference
Detroit Pistons,42.172413793103445,89.03448275862068,11.327586206896552,31.120689655172413,30.844827586206897,57.91379310344828,14.931034482758621,112.67241379310344,4.948275862068965,6.0344827586206895,26.43103448275862,43.55172413793103,22,17,9,58,36.398891966759,53.25989877939863,47.36638264910921,77.27272727272727,1.7702078521939952,Eastern Conference
Golden State Warriors,43.526315789473685,91.96491228070175,15.140350877192983,39.824561403508774,28.385964912280702,52.14035087719298,13.982456140350877,119.24561403508773,4.192982456140351,6.719298245614035,29.157894736842106,46.64912280701754,21.666666666666668,17.05263157894737,30,57,38.01762114537445,54.4414535666218,47.32926363983213,78.70445344129556,2.0853199498117942,Western Conference
Houston Rockets,41.241379310344826,90.06896551724138,12.120689655172415,34.672413793103445,29.120689655172413,55.39655172413793,12.758620689655173,112.82758620689656,4.517241379310345,7.413793103448276,24.689655172413794,45.89655172413793,23.75862068965517,18.224137931034484,25,58,34.95773247140726,52.56769374416434,45.78866768759571,76.70537010159653,1.9351351351351351,Western Conference
Indiana Pacers,46.94915254237288,92.37288135593221,13.610169491525424,35.779661016949156,33.33898305084746,56.59322033898305,12.864406779661017,123.9322033898305,5.711864406779661,7.88135593220339,31.033898305084747,40.79661016949152,21.084745762711865,16.423728813559322,33,59,38.03884414969208,58.909853249475894,50.82568807339449,77.89389067524115,2.412384716732543,Eastern Conference
LA Clippers,42.857142857142854,87.16071428571429,13.017857142857142,33.160714285714285,29.839285714285715,54,12.339285714285714,117.55357142857143,5.053571428571429,7.928571428571429,25.875,43.017857142857146,22.982142857142858,18.821428571428573,37,56,39.25686591276252,55.25793650793651,49.17025199754148,81.8958818958819,2.096960926193922,Western Conference
Los Angeles Lakers,43.389830508474574,87.67796610169492,11.389830508474576,30.796610169491526,32,56.88135593220339,13.186440677966102,116.91525423728814,5.6440677966101696,7.779661016949152,28.47457627118644,42.57627118644068,24.271186440677965,18.74576271186441,31.000000000000004,59,36.98403962575674,56.25744934445768,49.48772472453121,77.23463687150839,2.159383033419023,Western Conference
Memphis Grizzlies,38.63793103448276,87.84482758620689,13.5,38.87931034482759,25.137931034482758,48.96551724137931,13.879310344827585,106.5,6.068965517241379,7.793103448275862,25.20689655172414,41.63793103448276,20.67241379310345,15.724137931034482,20,58,34.72283813747228,51.33802816901409,43.98429833169775,76.06338615512927,1.8161490683229815,Western Conference
Miami Heat,39.706896551724135,85.48275862068965,12.448275862068966,33.206896551724135,27.25862068965517,52.275862068965516,12.310344827586206,110.60344827586206,3.3620689655172415,7.396551724137931,25.913793103448278,42.10344827586207,22.913793103448278,18.74137931034483,33,58,37.48701973001039,52.14379947229551,46.450181524808386,81.79082016553801,2.1050420168067228,Eastern Conference
Milwaukee Bucks,44.03389830508475,89.03389830508475,14.271186440677965,37.898305084745765,29.76271186440678,51.13559322033898,12.457627118644067,121.8135593220339,5.220338983050848,6.9491525423728815,26.8135593220339,44.23728813559322,25.305084745762713,19.47457627118644,38,59,37.65652951699463,58.20351342393106,49.45745288406625,76.95914266577361,2.1523809523809527,Eastern Conference
Minnesota Timberwolves,41.327586206896555,84.72413793103448,12.568965517241379,32.13793103448276,28.75862068965517,52.58620689655172,13.931034482758621,113.62068965517241,5.913793103448276,7.637931034482759,26.32758620689655,44.1551724137931,23.46551724137931,18.396551724137932,41,58,39.10944206008583,54.68852459016394,48.77899877899879,78.39823659074212,1.8898514851485149,Western Conference
New Orleans Pelicans,42.847457627118644,88.03389830508475,12.23728813559322,32.389830508474574,30.610169491525422,55.644067796610166,12.711864406779661,116.0677966101695,4.898305084745763,8.35593220338983,26.983050847457626,44.440677966101696,23.728813559322035,18.135593220338983,35,59,37.78126635269492,55.010660980810236,48.67154408933385,76.42857142857143,2.1226666666666665,Western Conference
New York Knicks,41.33898305084746,88.84745762711864,13.05084745762712,35.47457627118644,28.28813559322034,53.3728813559322,12.389830508474576,113.79661016949153,3.9152542372881354,7.271186440677966,23.796610169491526,45.559322033898304,23.016949152542374,18.06779661016949,35,59,36.78929765886288,53.00095268339156,46.52804273178177,78.49779086892488,1.920656634746922,Eastern Conference
Oklahoma City Thunder,44.827586206896555,89.3103448275862,13.53448275862069,34,31.29310344827586,55.310344827586206,11.637931034482758,121.29310344827586,6.827586206896552,8.137931034482758,27.155172413793103,41.724137931034484,21.810344827586206,18.103448275862068,41,58,39.80730223123732,56.57730673316708,50.1930501930502,83.00395256916995,2.3333333333333335,Western Conference
Orlando Magic,40.67796610169491,85.8135593220339,10.983050847457626,31.033898305084747,29.694915254237287,54.779661016949156,13.864406779661017,111.40677966101696,5.254237288135593,8.203389830508474,24.779661016949152,42.79661016949152,25.28813559322034,19.06779661016949,33,59,35.39049699617694,54.2079207920792,47.40272565672526,75.40214477211796,1.7872860635696821,Eastern Conference
Philadelphia 76ers,42.172413793103445,89.70689655172414,11.448275862068966,31.896551724137932,30.724137931034484,57.810344827586206,11.293103448275861,117.01724137931035,5.758620689655173,8.551724137931034,24.67241379310345,42.93103448275862,25.586206896551722,21.224137931034484,33,58,35.89189189189189,53.14643602743812,47.01133961176244,82.95148247978437,2.1847328244274813,Eastern Conference
Phoenix Suns,42.56896551724138,85.82758620689656,11.948275862068966,31.637931034482758,30.620689655172413,54.189655172413794,14.017241379310345,117.48275862068965,6.120689655172414,7.568965517241379,26.689655172413794,43.58620689655172,25.189655172413794,20.396551724137932,34,58,37.76566757493188,56.5065224307986,49.59823222177581,80.9719370294319,1.9040590405904059,Western Conference
Portland Trail Blazers,39.175438596491226,89.50877192982456,11.543859649122806,33.19298245614035,27.63157894736842,56.31578947368421,14.052631578947368,107.24561403508773,4.491228070175438,7.87719298245614,22.56140350877193,41.666666666666664,21.859649122807017,17.350877192982455,15,57,34.77801268498943,49.06542056074766,43.76715013720109,79.37399678972712,1.6054931335830214,Western Conference
Sacramento Kings,44.03508771929825,90.82456140350877,14.719298245614034,39.64912280701754,29.31578947368421,51.175438596491226,12.771929824561404,118.49122807017544,3.9649122807017543,7.2631578947368425,28.68421052631579,43.1578947368421,21.45614035087719,15.701754385964913,33,57,37.123893805309734,57.284881727802535,48.483677805678965,73.1807031888798,2.245879120879121,Western Conference
San Antonio Spurs,41.94915254237288,91.16949152542372,12.457627118644067,36.271186440677965,29.491525423728813,54.898305084745765,14.440677966101696,111.9322033898305,6.169491525423729,7.372881355932203,29.559322033898304,43.25423728813559,19.983050847457626,15.576271186440678,11,59,34.345794392523366,53.72028403828342,46.012269938650306,77.94741306191689,2.0469483568075115,Western Conference
Toronto Raptors,43.06896551724138,90.08620689655173,11.706896551724139,32.672413793103445,31.362068965517242,57.41379310344828,12.775862068965518,114.43103448275862,4.9655172413793105,7.482758620689655,29.310344827586206,43.689655172413794,22.086206896551722,16.586206896551722,22,58,35.83113456464381,54.62462462462462,47.80861244019138,75.0975800156128,2.294197031039136,Eastern Conference
Utah Jazz,42.644067796610166,90.86440677966101,13.271186440677965,37.152542372881356,29.372881355932204,53.71186440677966,15.254237288135593,117.66101694915254,5.915254237288136,6.830508474576271,28.423728813559322,46.57627118644068,23.16949152542373,19.10169491525424,27,59,35.72080291970803,54.68602082675923,46.93154262264503,82.44330651060717,1.8633333333333333,Western Conference
Washington Wizards,43.189655172413794,91.74137931034483,12.172413793103448,34.86206896551724,31.017241379310345,56.87931034482759,13.568965517241379,114.32758620689656,5.241379310344827,7.827586206896552,28.120689655172413,40.758620689655174,20.67241379310345,15.775862068965518,9,58,34.91592482690406,54.53167626553501,47.07761698928773,76.31359466221852,2.0724269377382463,Eastern Conference
